,,,,,,
,,,,,,
,,,,,,
Fajr Faycal,Mil. Off,Caen,"5,3",5,13,95 %
,,,,,,
Meunier Thomas,Def. Lat.,Paris,"5,8",3,13,50 %
,,,,,,
Soumaoro Adama,Def. Cen.,Lille,"5,7",0,13,53 %
,,,,,,
Ferri Jordan,Mil. Def.,Nîmes,"5,2",2,13,58 %
,,,,,,
Sakai Hiroki,Def. Lat.,Marseille,"5,1",1,13,68 %
,,,,,,
Gnahore Eddy,Mil. Off,Amiens,"5,1",4,13,63 %
,,,,,,
Rúnarsson Rúnar Alex,Gardien,Dijon,5,0,13,66 %
,,,,,,
Sanson Morgan,Mil. Off,Marseille,"5,3",5,13,71 %
,,,,,,
Djiku Alexander,Def. Cen.,Caen,5,1,13,82 %
,,,,,,
N'Jie Clinton,Attaquant,Marseille,"4,9",3,13,8 %
,,,,,,
Pedro Rebocho,Def. Lat.,Guingamp,5,0,13,95 %
,,,,,,
Kamano François,Attaquant,Bordeaux,"5,1",10,13,76 %
,,,,,,
Sarr Malang,Def. Cen.,Nice,"5,2",1,13,89 %
,,,,,,
Timite Cheick,Mil. Off,Amiens,"4,7",1,13,39 %
,,,,,,
Soumare Boubakary,Mil. Def.,Lille,"5,2",1,13,13 %
,,,,,,
Cahuzac Yannick,Mil. Def.,Toulouse,5,1,12,39 %
,,,,,,
Dossevi Mathieu,Mil. Off,Toulouse,5,4,12,79 %
,,,,,,
Grenier Clément,Mil. Off,Rennes,"5,2",2,12,76 %
,,,,,,
Durmaz Jimmy,Mil. Off,Toulouse,"4,8",4,12,55 %
,,,,,,
Pavlovic Mateo,Def. Cen.,Angers,"5,3",2,12,74 %
,,,,,,
Glik Kamil,Def. Cen.,Monaco,"4,9",1,12,87 %
,,,,,,
de Preville Nicolas,Attaquant,Bordeaux,"4,8",3,12,37 %
,,,,,,
Majeed Waris,Attaquant,Nantes,5,5,12,66 %
,,,,,,
Lautoa Wesley,Def. Cen.,Dijon,"4,7",0,12,89 %
,,,,,,
Konaté Moussa,Attaquant,Amiens,"4,8",7,12,55 %
,,,,,,
Mendoza John Stiven,Mil. Off,Amiens,"4,8",2,12,58 %
,,,,,,
Chafik Fouad,Def. Lat.,Dijon,5,0,12,55 %
,,,,,,
Cornet Maxwel,Attaquant,Lyon,"5,1",7,12,32 %
,,,,,,
Shoji Gen,Def. Cen.,Toulouse,"4,8",0,12,47 %
,,,,,,
Saint-Maximin Allan,Mil. Off,Nice,"5,1",6,12,89 %
,,,,,,
Andrei Girotto,Mil. Def.,Nantes,"5,4",2,12,47 %
,,,,,,
Traoré Hamari,Def. Lat.,Rennes,"4,9",0,12,87 %
,,,,,,
Nuno da Costa,Attaquant,Strasbourg,"4,9",8,12,58 %
,,,,,,
Otero Juan Ferney,Attaquant,Amiens,"4,7",2,12,63 %
,,,,,,
Blin Alexis,Mil. Def.,Amiens,"5,1",1,12,66 %
,,,,,,
Casimir Ninga,Attaquant,Caen,"4,6",6,12,74 %
,,,,,,
Koundé Jules,Def. Cen.,Bordeaux,5,0,12,97 %
,,,,,,
Sissoko Ibrahima,Mil. Def.,Strasbourg,"5,2",3,12,79 %
,,,,,,
Burner Patrick,Def. Lat.,Nice,"4,9",0,12,39 %
,,,,,,
Adrien Silva,Mil. Def.,Monaco,"5,3",0,11,37 %
,,,,,,
Strootman Kevin,Mil. Def.,Marseille,5,1,11,55 %
,,,,,,
André Benjamin,Mil. Def.,Rennes,"5,3",3,11,74 %
,,,,,,
Sanogo Yaya,Attaquant,Toulouse,"4,7",3,11,34 %
,,,,,,
Martin Jonas,Mil. Def.,Strasbourg,"5,6",3,11,61 %
,,,,,,
Alioui Rachid,Attaquant,Nîmes,"4,9",5,11,29 %
,,,,,,
Zeffane Mehdi,Def. Lat.,Rennes,"4,9",1,11,37 %
,,,,,,
Júlio Tavares,Attaquant,Dijon,"4,6",5,11,82 %
,,,,,,
Amavi Jordan,Def. Lat.,Marseille,"4,9",0,11,63 %
,,,,,,
Marié Jordan,Mil. Def.,Dijon,"4,9",1,11,53 %
,,,,,,
Phiri Lebogang,Mil. Def.,Guingamp,"5,2",0,11,61 %
,,,,,,
Boschilia Gabriel,Mil. Off,Nantes,"5,1",4,11,37 %
,,,,,,
Danilo,Mil. Def.,Nice,"4,8",0,11,47 %
,,,,,,
Otávio,Mil. Def.,Bordeaux,"5,5",0,11,87 %
,,,,,,
Sy Seydou,Gardien,Monaco,"3,8",0,11,5 %
,,,,,,
Vada Valentín,Mil. Off,Saint-Étienne,"5,2",1,11,8 %
,,,,,,
Thiago Maia,Mil. Def.,Lille,"5,1",0,11,26 %
,,,,,,
Tousart Lucas,Mil. Def.,Lyon,"5,2",0,11,53 %
,,,,,,
Blas Ludovic,Mil. Def.,Guingamp,"4,9",1,11,71 %
,,,,,,
Faitout Maouassa,Mil. Off,Nîmes,"4,9",0,11,66 %
,,,,,,
Bouanga Denis,Mil. Off,Nîmes,"4,9",8,11,76 %
,,,,,,
Ballo-Toure Fode,Def. Lat.,Monaco,"5,1",0,11,95 %
,,,,,,
Haddadi Oussama,Def. Lat.,Dijon,"4,8",2,11,79 %
,,,,,,
Carlos Vinicius,Attaquant,Monaco,"4,7",2,11,8 %
,,,,,,
Camavinga Eduardo,Mil. Def.,Rennes,"5,6",0,11,11 %
,,,,,,
Balmont Florent,Mil. Def.,Dijon,"4,7",0,10,39 %
,,,,,,
Payet Dimitri,Mil. Off,Marseille,"5,1",4,10,61 %
,,,,,,
Tatarusanu Ciprian,Gardien,Nantes,"5,6",0,10,71 %
,,,,,,
Koné Lamine,Def. Cen.,Strasbourg,5,1,10,61 %
,,,,,,
Fabio,Def. Lat.,Nantes,"4,8",0,10,39 %
,,,,,,
Lasne Paul,Mil. Def.,Montpellier,"5,1",2,10,47 %
,,,,,,
Jeannot Benjamin,Attaquant,Dijon,"4,6",2,10,50 %
,,,,,,
Amalfitano Romain,Mil. Def.,Dijon,"4,5",0,10,79 %
,,,,,,
Kurzawa Layvin,Def. Lat.,Paris,5,1,10,29 %
